age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
43,Self-emp-not-inc,292175,Msc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50
40,Private,193524,Dr,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50
54,Private,302146,H.S,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50
35,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50
43,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50
59,Private,109015,H.S,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50
56,Local-gov,216851,Bsc,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50
19,Private,168294,H.S,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50
54,?,180211,s-c,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50
39,Private,367260,H.S,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50
49,Private,193366,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50
23,Local-gov,190709,Ass-ac,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50
20,Private,266015,s-c,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50
45,Private,386940,Bsc,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50
30,Federal-gov,59951,s-c,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50
22,State-gov,311512,s-c,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50
48,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50
21,Private,197200,s-c,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50
19,Private,544091,H.S,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50
31,Private,84154,s-c,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,?,>50
48,Self-emp-not-inc,265477,Ass-ac,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50
31,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50
53,Self-emp-not-inc,88506,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50
24,Private,172987,Bsc,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50
49,Private,94638,H.S,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50
25,Private,289980,H.S,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50
57,Federal-gov,337895,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50
53,Private,144361,H.S,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50
44,Private,128354,Msc,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50
41,State-gov,101603,Ass-vc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50
29,Private,271466,Ass-vc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50
25,Private,32275,s-c,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50
18,Private,226956,H.S,9,Never-married,Other-service,Own-child,White,Female,0,0,30,?,<=50
47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50
50,Federal-gov,251585,Bsc,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50
47,Self-emp-inc,109832,H.S,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50
43,Private,237993,s-c,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50
46,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50
35,Private,56352,Ass-vc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50
41,Private,147372,H.S,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50
30,Private,188146,H.S,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50
30,Private,59496,Bsc,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50
32,?,293936,07-Aug,4,Married-spouse-absent,?,Not-in-family,White,Male,0,0,40,?,<=50
48,Private,149640,H.S,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50
42,Private,116632,Dr,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50
29,Private,105598,s-c,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50
36,Private,155537,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50
28,Private,183175,s-c,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50
53,Private,169846,H.S,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50
49,Self-emp-inc,191681,s-c,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50
25,?,200681,s-c,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50
19,Private,101509,s-c,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50
31,Private,309974,Bsc,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50
29,Self-emp-not-inc,162298,Bsc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50
23,Private,211678,s-c,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50
79,Private,124744,s-c,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50
27,Private,213921,H.S,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50
40,Private,32214,Ass-ac,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50
67,?,212759,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50
18,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50
31,Local-gov,125927,07-Aug,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50
18,Private,446839,H.S,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50
52,Private,276515,Bsc,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50
46,Private,51618,H.S,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50
59,Private,159937,H.S,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50
44,Private,343591,H.S,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50
53,Private,346253,H.S,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50
49,Local-gov,268234,H.S,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50
33,Private,202051,Msc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50
30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50
43,Federal-gov,410867,Dr,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50
57,Private,249977,Ass-vc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50
37,Private,286730,s-c,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50
28,Private,212563,s-c,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50
30,Private,117747,H.S,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?,<=50
34,Local-gov,226296,Bsc,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50
29,Local-gov,115585,s-c,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50
48,Self-emp-not-inc,191277,Dr,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50
37,Private,202683,s-c,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50
48,Private,171095,Ass-ac,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,<=50
32,Federal-gov,249409,H.S,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50
76,Private,124191,Msc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50
44,Private,198282,Bsc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50
47,Self-emp-not-inc,149116,Msc,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50
20,Private,188300,s-c,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50
29,Private,103432,H.S,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50
32,Self-emp-inc,317660,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50
17,?,304873,10th,6,Never-married,?,Own-child,White,Female,34095,0,32,United-States,<=50
30,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50
31,Local-gov,189265,H.S,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50
42,Private,124692,H.S,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50
24,Private,432376,Bsc,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50
38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50
56,Self-emp-not-inc,335605,H.S,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,>50
28,Private,377869,s-c,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50
36,Private,102864,H.S,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50
53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50
56,Self-emp-inc,303090,s-c,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50
49,Local-gov,197371,Ass-vc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50
55,Private,247552,s-c,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50
22,Private,102632,H.S,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50
21,Private,199915,s-c,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50
40,Private,118853,Bsc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50
30,Private,77143,Bsc,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,<=50
29,State-gov,267989,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50
19,Private,301606,s-c,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50
47,Private,287828,Bsc,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50
20,Private,111697,s-c,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50
31,Private,114937,Ass-ac,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50
35,?,129305,H.S,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50
39,Private,365739,s-c,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50
28,Private,69621,Ass-ac,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50
24,Private,43323,H.S,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50
38,Self-emp-not-inc,120985,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50
37,Private,254202,Bsc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50
46,Private,146195,Ass-ac,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50
38,Federal-gov,125933,Msc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50
43,Self-emp-not-inc,56920,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50
27,Private,163127,Ass-vc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50
20,Private,34310,s-c,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50
49,Private,81973,s-c,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50
61,Self-emp-inc,66614,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50
27,Private,232782,s-c,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50
19,Private,316868,s-c,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,<=50
45,Private,196584,Ass-vc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,>50
70,Private,105376,s-c,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50
31,Private,185814,H.S,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50
22,Private,175374,s-c,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50
36,Private,108293,H.S,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50
64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50
43,?,174662,s-c,10,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50
47,Local-gov,186009,s-c,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,<=50
34,Private,198183,H.S,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50
33,Private,163003,Bsc,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50
21,Private,296158,H.S,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50
52,?,252903,H.S,9,Divorced,?,Not-in-family,White,Male,0,0,45,United-States,>50
48,Private,187715,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50
23,Private,214542,Bsc,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50
71,Self-emp-not-inc,494223,s-c,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50
29,Private,191535,H.S,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50
42,Private,228456,Bsc,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50
68,?,38317,1st-4th,2,Divorced,?,Not-in-family,White,Female,0,0,20,United-States,<=50
25,Private,252752,H.S,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50
44,Self-emp-inc,78374,Msc,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50
28,Private,88419,H.S,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,<=50
45,Self-emp-not-inc,201080,Msc,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50
36,Private,207157,s-c,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50
39,Federal-gov,235485,Ass-ac,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50
46,State-gov,102628,Msc,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50
18,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50
66,Local-gov,54826,Ass-vc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50
27,Private,124953,H.S,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50
28,State-gov,175325,H.S,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50
51,Private,96062,s-c,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50
27,Private,428030,Bsc,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50
28,State-gov,149624,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50
27,Private,253814,H.S,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,<=50
21,Private,312956,H.S,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50
34,Private,483777,H.S,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50
18,Private,183930,H.S,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50
33,Private,37274,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50
44,Local-gov,181344,s-c,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50
43,Private,114580,s-c,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50
30,Private,633742,s-c,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50
40,Private,286370,07-Aug,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50
37,Federal-gov,29054,s-c,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50
34,Private,304030,H.S,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50
41,Self-emp-not-inc,143129,Bsc,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50
53,?,135105,Bsc,13,Divorced,?,Not-in-family,White,Female,0,0,50,United-States,<=50
31,Private,99928,Msc,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50
58,State-gov,109567,Dr,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50
38,Private,155222,s-c,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50
24,Private,159567,s-c,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50
41,Local-gov,523910,Bsc,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50
47,Private,120939,s-c,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50
41,Federal-gov,130760,Bsc,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,<=50
23,Private,197387,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,<=50
36,Private,99374,s-c,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50
40,Federal-gov,56795,Msc,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,>50
35,Private,138992,Msc,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,>50
24,Self-emp-not-inc,32921,H.S,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50
26,Private,397317,Msc,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50
19,?,170653,H.S,9,Never-married,?,Own-child,White,Male,0,0,40,Italy,<=50
51,Private,259323,Bsc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50
42,Local-gov,254817,s-c,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50
37,State-gov,48211,H.S,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50
18,Private,140164,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50
36,Private,128757,Bsc,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,>50
35,Private,36270,H.S,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50
58,Self-emp-inc,210563,H.S,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,>50
17,Private,65368,11th,7,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50
44,Local-gov,160943,H.S,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50
37,Private,208358,H.S,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50
35,Private,153790,s-c,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50
60,Private,85815,H.S,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50
54,Self-emp-inc,125417,07-Aug,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50
37,Private,635913,Bsc,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50
50,Private,313321,Ass-ac,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50
38,Private,182609,Bsc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland,<=50
45,Private,109434,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50
25,Private,255004,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50
31,Private,197860,s-c,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50
64,?,187656,1st-4th,2,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50
90,Private,51744,H.S,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50
54,Private,176681,H.S,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50
53,Local-gov,140359,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50
18,Private,243313,H.S,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50
60,?,24215,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50
66,Self-emp-not-inc,167687,H.S,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50
75,Private,314209,Ass-vc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia,<=50
65,Private,176796,H.S,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50
35,Private,538583,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50
41,Private,130408,H.S,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50
25,Private,159732,s-c,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,<=50
33,Private,110978,s-c,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50
28,Private,76714,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50
59,State-gov,268700,H.S,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50
40,State-gov,170525,s-c,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50
41,Private,180138,Bsc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran,>50
38,Local-gov,115076,Msc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50
23,Private,115458,H.S,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50
40,Private,347890,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50
41,Self-emp-not-inc,196001,H.S,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,<=50
24,State-gov,273905,Ass-ac,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50
20,?,119156,s-c,10,Never-married,?,Own-child,White,Male,0,0,20,United-States,<=50
38,Private,179488,s-c,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,<=50
56,Private,203580,H.S,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,?,<=50
58,Private,236596,H.S,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,>50
32,Private,183916,H.S,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50
40,Private,207578,Ass-ac,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,>50
45,Private,153141,H.S,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,?,<=50
41,Private,112763,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50
42,Private,390781,Bsc,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50
59,Local-gov,171328,10th,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50
19,Local-gov,27382,s-c,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50
